repoName,repoOrg,description,language,stargazers_count,forks_count,subscribers_count,open_issues_count,size,created_at
lda,primaryobjects,b'LDA topic modeling for node.js',JavaScript,171,25,5,1,35,2014-05-27T17:35:48Z
tslearn,rtavenar,b'A machine learning toolkit dedicated to time-series data',Python,154,18,14,7,2407,2017-05-04T13:08:13Z
pytorch,pytorch,b'Tensors and Dynamic neural networks in Python  with strong GPU acceleration',Python,9251,1959,533,489,18747,2016-08-13T05:26:41Z
pylearn2,lisa-lab,b'Warning: This project does not have any current developer. See bellow.',Python,2492,1046,274,201,26008,2010-11-22T18:00:50Z
nilearn,nilearn,b'Machine learning for NeuroImaging in Python',Python,309,226,58,232,11541,2011-01-09T19:02:23Z
pybrain,pybrain,,Python,2400,734,220,139,14204,2009-07-02T10:34:58Z
fuel,mila-udem,b'A data pipeline framework for machine learning',Python,656,216,54,85,1307,2015-02-12T20:42:44Z
milk,luispedro,b'MILK: Machine Learning Toolkit',Python,559,127,54,4,1631,2009-11-20T21:17:14Z
hebel,hannes-brt,b'GPU-Accelerated Deep Learning Library in Python',Python,1164,125,78,4,1347,2013-11-20T07:01:18Z
ramp,kvh,b'Rapid Machine Learning Prototyping in Python',Python,640,97,70,9,734,2012-05-04T08:22:19Z
neon,NervanaSystems,b'Intel\xc2\xae Nervana\xe2\x84\xa2 reference deep learning framework committed to best performance on all hardware',Python,3306,735,340,60,7738,2014-10-16T01:00:17Z
caffe,BVLC,b'Caffe: a fast open framework for deep learning.',C++,21295,13110,2089,806,63782,2013-09-12T18:39:48Z
veles,Samsung,b'Distributed machine learning platform',C++,840,186,83,23,90914,2015-05-27T01:38:35Z
CaffeOnSpark,yahoo,,Jupyter Notebook,1186,362,146,69,17465,2016-01-11T19:21:31Z
amazon-dsstne,amzn,b'Deep Scalable Sparse Tensor Network Engine (DSSTNE) is an Amazon developed library for building Deep Learning (DL) machine learning (ML) models ',C++,3947,652,349,19,6950,2016-03-24T06:57:40Z
BigDL,intel-analytics,b'BigDL: Distributed Deep Learning Library for Apache Spark',Scala,2111,445,184,154,16413,2016-08-29T07:59:50Z
dynet,clab,b'DyNet: The Dynamic Neural Network Toolkit',C++,1898,468,168,128,8788,2015-02-08T23:09:21Z
Paddle,PaddlePaddle,b'PArallel Distributed Deep LEarning',C++,5815,1543,534,812,64398,2016-08-15T06:59:08Z
